Line,bus0,bus1
378,"(80.7458158, 26.7893447)","(80.7472892, 26.7926402)"
379,"(80.7472892, 26.7926402)","(80.748677, 26.7957442)"
380,"(80.748677, 26.7957442)","(80.7484723, 26.7982643)"
381,"(80.7484723, 26.7982643)","(80.7482378, 26.8007628)"
382,"(80.7482378, 26.8007628)","(80.751297, 26.8028199)"
383,"(80.751297, 26.8028199)","(80.7543037, 26.8048749)"
384,"(80.7543037, 26.8048749)","(80.7569963, 26.8067044)"
385,"(80.7569963, 26.8067044)","(80.7584843, 26.8087101)"
386,"(80.7584843, 26.8087101)","(80.760109, 26.8110139)"
387,"(80.760109, 26.8110139)","(80.7623561, 26.8138642)"
388,"(80.7623561, 26.8138642)","(80.7645881, 26.8167144)"
389,"(80.7645881, 26.8167144)","(80.7668151, 26.8195013)"
390,"(80.7668151, 26.8195013)","(80.7691382, 26.8223559)"
391,"(80.7691382, 26.8223559)","(80.7708843, 26.8247181)"
392,"(80.7708843, 26.8247181)","(80.7731922, 26.8275499)"
393,"(80.7731922, 26.8275499)","(80.7754495, 26.8304179)"
394,"(80.7754495, 26.8304179)","(80.777798, 26.8333715)"
395,"(80.777798, 26.8333715)","(80.7797668, 26.835878)"
396,"(80.7797668, 26.835878)","(80.7823339, 26.8375147)"
397,"(80.7823339, 26.8375147)","(80.7850792, 26.8381086)"
398,"(80.7850792, 26.8381086)","(80.787374, 26.8384131)"
399,"(80.787374, 26.8384131)","(80.7884681, 26.8406486)"
400,"(80.7884681, 26.8406486)","(80.7923895, 26.842214)"
401,"(80.7923895, 26.842214)","(80.7948695, 26.8448377)"
402,"(80.7948695, 26.8448377)","(80.7978252, 26.8478904)"
403,"(80.7978252, 26.8478904)","(80.7997991, 26.8499495)"
404,"(80.7997991, 26.8499495)","(80.8023702, 26.8526362)"
405,"(80.8023702, 26.8526362)","(80.8045769, 26.8549301)"
406,"(80.8045769, 26.8549301)","(80.8069118, 26.8573995)"
407,"(80.8069118, 26.8573995)","(80.8089701, 26.8595763)"
408,"(80.8089701, 26.8595763)","(80.8125889, 26.8597524)"
409,"(80.8125889, 26.8597524)","(80.8159343, 26.8598788)"
410,"(80.8159343, 26.8598788)","(80.8181512, 26.8617346)"
411,"(80.8181512, 26.8617346)","(80.8209263, 26.863914)"
412,"(80.8209263, 26.863914)","(80.8236021, 26.8661683)"
413,"(80.8236021, 26.8661683)","(80.8265376, 26.8684574)"
414,"(80.8265376, 26.8684574)","(80.8275752, 26.8700692)"
